-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2015 through 08/01/2025 in LST
Location: Latitude  24.3415   Longitude 120.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WS10M
2015,8,8,4,34.22,28.68
2015,8,8,5,35.19,29.7
2015,8,8,6,35.95,30.44
2015,8,8,7,37.23,31.62
2015,8,8,8,39.0,33.25
2015,8,8,9,42.2,36.15
2015,8,8,10,43.35,37.17
2015,8,8,11,39.01,33.36
2015,8,8,12,26.84,23.03
2015,8,8,13,16.14,13.67
2015,8,8,14,4.11,3.38
2015,8,8,15,9.3,8.31
2015,8,8,16,17.06,15.06
2015,8,8,17,22.47,19.61
2015,8,8,18,31.43,27.22
2015,8,8,19,37.09,32.07
2015,8,8,20,38.02,32.75
2015,8,8,21,36.58,31.39
2015,8,8,22,34.08,28.99
2015,8,8,23,31.68,26.78
2015,8,9,0,29.55,24.85
2015,8,9,1,27.88,23.36
2015,8,9,2,26.39,22.13
2015,8,9,3,24.66,20.63
2015,8,9,4,23.01,19.21
2015,8,9,5,20.73,17.36
2015,8,9,6,19.12,15.95
2015,8,9,7,17.95,14.96
2015,8,9,8,16.94,14.12
2015,8,9,9,16.47,13.7
2015,8,9,10,15.71,13.07
2015,8,9,11,14.69,12.27
2015,8,9,12,13.69,11.45
2015,8,9,13,13.14,10.95
2015,8,9,14,12.94,10.79
2015,8,9,15,12.52,10.49
2015,8,9,16,12.18,10.22
2015,8,9,17,12.06,10.12
2015,8,9,18,12.07,10.13
2015,8,9,19,12.08,10.16
2015,8,9,20,12.17,10.23
2015,8,9,21,12.27,10.33
2015,8,9,22,12.35,10.4
2015,8,9,23,12.3,10.38
2015,8,10,0,12.16,10.28
2015,8,10,1,12.04,10.21
2015,8,10,2,11.91,10.13
2015,8,10,3,11.83,10.04
2015,8,10,4,11.71,9.94
2015,8,10,5,11.46,9.71
2015,8,10,6,11.01,9.36
2015,8,10,7,10.65,9.05
2015,8,10,8,10.55,8.96
2015,8,10,9,10.03,8.53
2015,8,10,10,9.49,7.97
2015,8,10,11,9.28,7.65
2015,8,10,12,9.22,7.47
2015,8,10,13,9.2,7.35
2015,8,10,14,9.13,7.26
2015,8,10,15,9.06,7.19
2015,8,10,16,8.93,7.1
2015,8,10,17,8.66,6.94
2015,8,10,18,8.49,6.86
2015,8,10,19,8.44,6.96
2015,8,10,20,8.42,7.06
2015,8,10,21,8.39,7.13
2015,8,10,22,8.36,7.18
2015,8,10,23,8.48,7.32
2015,8,11,0,8.6,7.46
2015,8,11,1,8.63,7.52
2015,8,11,2,8.56,7.48
2015,8,11,3,8.5,7.43
2015,8,11,4,8.41,7.37
2015,8,11,5,8.1,7.12
2015,8,11,6,7.75,6.85
2015,8,11,7,7.52,6.63
2015,8,11,8,7.72,6.72
2015,8,11,9,7.85,6.75
2015,8,11,10,7.76,6.57
2015,8,11,11,7.74,6.46
2015,8,11,12,7.84,6.48
2015,8,11,13,7.94,6.51
2015,8,11,14,8.0,6.51
2015,8,11,15,8.08,6.53
2015,8,11,16,8.15,6.56
2015,8,11,17,8.09,6.53
2015,8,11,18,8.03,6.54
2015,8,11,19,8.15,6.75
2015,8,11,20,8.32,7.0
2015,8,11,21,8.46,7.23
2015,8,11,22,8.63,7.42
2015,8,11,23,8.77,7.58
2015,8,12,0,8.91,7.7
2015,8,12,1,8.95,7.73
2015,8,12,2,8.93,7.7
2015,8,12,3,8.78,7.56
2015,8,12,4,8.55,7.34
2015,8,12,5,8.19,7.06
2015,8,12,6,7.79,6.75
2015,8,12,7,7.65,6.6
2015,8,12,8,7.66,6.56
2015,8,12,9,7.52,6.38
2015,8,12,10,7.27,6.11
2015,8,12,11,7.24,6.05
2015,8,12,12,7.36,6.12
2015,8,12,13,7.51,6.23
2015,8,12,14,7.73,6.4
2015,8,12,15,8.0,6.62
2015,8,12,16,8.24,6.84
2015,8,12,17,8.36,6.94
2015,8,12,18,8.56,7.11
2015,8,12,19,8.89,7.42
2015,8,12,20,9.17,7.7
2015,8,12,21,9.16,7.69
2015,8,12,22,8.92,7.48
2015,8,12,23,8.68,7.3
2015,8,13,0,8.57,7.25
2015,8,13,1,8.54,7.26
2015,8,13,2,8.56,7.3
2015,8,13,3,8.63,7.37
2015,8,13,4,8.68,7.44
2015,8,13,5,8.5,7.27
2015,8,13,6,8.36,7.17
2015,8,13,7,8.22,7.04
2015,8,13,8,8.2,6.97
2015,8,13,9,8.18,6.95
2015,8,13,10,8.07,6.87
2015,8,13,11,8.03,6.82
2015,8,13,12,8.09,6.89
2015,8,13,13,8.15,6.94
2015,8,13,14,8.17,6.98
2015,8,13,15,8.19,7.04
2015,8,13,16,8.39,7.26
2015,8,13,17,8.54,7.43
2015,8,13,18,8.76,7.65
2015,8,13,19,9.34,8.15
2015,8,13,20,9.97,8.7
2015,8,13,21,10.09,8.79
2015,8,13,22,9.43,8.2
2015,8,13,23,8.95,7.8
2015,8,14,0,8.91,7.8
2015,8,14,1,9.35,8.13
2015,8,14,2,9.76,8.5
2015,8,14,3,9.61,8.42
2015,8,14,4,9.43,8.26
2015,8,14,5,9.23,8.1
2015,8,14,6,8.91,7.83
2015,8,14,7,8.62,7.59
2015,8,14,8,8.57,7.5
2015,8,14,9,8.44,7.37
2015,8,14,10,8.41,7.32
2015,8,14,11,8.5,7.37
2015,8,14,12,8.73,7.53
2015,8,14,13,9.11,7.84
2015,8,14,14,9.54,8.19
2015,8,14,15,9.84,8.46
2015,8,14,16,10.08,8.68
2015,8,14,17,10.5,9.05
2015,8,14,18,10.91,9.43
2015,8,14,19,10.72,9.35
2015,8,14,20,10.34,9.06
2015,8,14,21,9.98,8.78
2015,8,14,22,9.62,8.48
2015,8,14,23,9.33,8.24
2015,8,15,0,9.33,8.22
2015,8,15,1,9.25,8.17
2015,8,15,2,8.99,7.93
2015,8,15,3,8.69,7.66
2015,8,15,4,8.23,7.27
2015,8,15,5,8.27,7.32
2015,8,15,6,8.47,7.49
2015,8,15,7,8.47,7.46
2015,8,15,8,8.78,7.6
2015,8,15,9,9.19,7.88
2015,8,15,10,9.5,8.12
2015,8,15,11,9.57,8.18
2015,8,15,12,9.43,8.1
2015,8,15,13,9.09,7.89
2015,8,15,14,8.52,7.45
2015,8,15,15,7.95,6.96
2015,8,15,16,7.8,6.78
2015,8,15,17,8.04,6.92
2015,8,15,18,8.28,7.1
2015,8,15,19,8.58,7.33
2015,8,15,20,9.0,7.71
2015,8,15,21,9.74,8.39
2015,8,15,22,10.32,8.94
2015,8,15,23,10.47,9.1
2015,8,16,0,10.3,8.97
2015,8,16,1,10.07,8.78
2015,8,16,2,10.01,8.71
2015,8,16,3,10.41,9.02
2015,8,16,4,10.38,8.95
2015,8,16,5,10.04,8.59
2015,8,16,6,9.46,8.03
2015,8,16,7,8.81,7.36
2015,8,16,8,8.54,7.07
2015,8,16,9,8.31,6.96
2015,8,16,10,8.05,6.87
2015,8,16,11,8.02,6.95
2015,8,16,12,8.45,7.36
2015,8,16,13,9.48,8.19
2015,8,16,14,10.04,8.73
2015,8,16,15,10.1,8.84
2015,8,16,16,9.9,8.7
2015,8,16,17,9.67,8.42
2015,8,16,18,9.68,8.29
2015,8,16,19,9.93,8.39
2015,8,16,20,9.88,8.29
2015,8,16,21,9.51,7.94
2015,8,16,22,9.48,7.95
2015,8,16,23,9.84,8.36
2015,8,17,0,10.0,8.56
2015,8,17,1,9.81,8.43
2015,8,17,2,9.4,8.09
2015,8,17,3,8.93,7.66
2015,8,17,4,8.41,7.21
2015,8,17,5,7.91,6.76
2015,8,17,6,7.48,6.37
2015,8,17,7,7.3,6.17
2015,8,17,8,7.39,6.2
2015,8,17,9,7.57,6.32
2015,8,17,10,7.77,6.44
2015,8,17,11,7.8,6.48
2015,8,17,12,7.72,6.46
2015,8,17,13,7.61,6.41
2015,8,17,14,7.44,6.29
2015,8,17,15,7.3,6.18
2015,8,17,16,7.21,6.12
2015,8,17,17,7.29,6.18
2015,8,17,18,7.47,6.28
2015,8,17,19,7.57,6.32
2015,8,17,20,7.47,6.19
2015,8,17,21,7.24,5.98
2015,8,17,22,7.11,5.91
2015,8,17,23,6.96,5.84
2015,8,18,0,6.77,5.73
2015,8,18,1,6.69,5.69
2015,8,18,2,6.6,5.64
2015,8,18,3,6.54,5.6
2015,8,18,4,6.44,5.51
2015,8,18,5,6.34,5.43
2015,8,18,6,6.25,5.34
2015,8,18,7,6.31,5.37
2015,8,18,8,6.42,5.44
2015,8,18,9,6.42,5.42
2015,8,18,10,6.17,5.2
2015,8,18,11,5.88,5.01
2015,8,18,12,5.61,4.9
2015,8,18,13,5.36,4.76
2015,8,18,14,5.02,4.49
2015,8,18,15,4.66,4.19
2015,8,18,16,4.29,3.88
2015,8,18,17,3.95,3.6
2015,8,18,18,3.51,3.2
2015,8,18,19,2.91,2.67
2015,8,18,20,2.3,2.12
2015,8,18,21,1.79,1.65
2015,8,18,22,1.61,1.49
2015,8,18,23,1.51,1.41
2015,8,19,0,1.36,1.25
2015,8,19,1,1.34,1.23
2015,8,19,2,1.17,1.08
2015,8,19,3,0.6,0.56
2015,8,19,4,0.93,0.92
2015,8,19,5,1.51,1.47
2015,8,19,6,1.85,1.78
2015,8,19,7,2.32,2.23
2015,8,19,8,3.0,2.84
2015,8,19,9,3.48,3.27
2015,8,19,10,3.97,3.69
2015,8,19,11,4.42,4.08
2015,8,19,12,4.9,4.48
2015,8,19,13,5.53,5.0
2015,8,19,14,6.12,5.5
2015,8,19,15,6.6,5.91
2015,8,19,16,7.0,6.25
2015,8,19,17,7.02,6.22
2015,8,19,18,6.62,5.8
2015,8,19,19,6.48,5.6
2015,8,19,20,7.0,6.0
2015,8,19,21,7.84,6.71
2015,8,19,22,7.8,6.65
2015,8,19,23,7.28,6.19
2015,8,20,0,6.95,5.99
2015,8,20,1,6.79,5.95
2015,8,20,2,6.71,5.92
2015,8,20,3,6.6,5.85
2015,8,20,4,6.4,5.72
2015,8,20,5,6.18,5.56
2015,8,20,6,5.96,5.4
2015,8,20,7,5.72,5.17
2015,8,20,8,5.65,5.07
2015,8,20,9,6.27,5.59
2015,8,20,10,7.33,6.54
2015,8,20,11,8.01,7.08
2015,8,20,12,8.37,7.33
2015,8,20,13,8.99,7.83
2015,8,20,14,9.75,8.47
2015,8,20,15,10.32,8.95
2015,8,20,16,10.66,9.24
2015,8,20,17,11.03,9.55
2015,8,20,18,11.41,9.89
2015,8,20,19,11.41,9.92
2015,8,20,20,11.1,9.69
2015,8,20,21,10.82,9.43
2015,8,20,22,10.79,9.41
2015,8,20,23,11.04,9.62
2015,8,21,0,11.03,9.7
2015,8,21,1,10.99,9.71
2015,8,21,2,10.93,9.66
2015,8,21,3,10.94,9.67
2015,8,21,4,10.93,9.65
2015,8,21,5,10.86,9.57
2015,8,21,6,10.74,9.44
2015,8,21,7,10.53,9.23
2015,8,21,8,10.33,8.96
2015,8,21,9,10.08,8.68
2015,8,21,10,10.21,8.71
2015,8,21,11,10.46,8.92
2015,8,21,12,10.98,9.42
2015,8,21,13,11.96,10.27
2015,8,21,14,12.99,11.14
2015,8,21,15,13.82,11.75
2015,8,21,16,14.22,12.12
2015,8,21,17,14.18,12.11
2015,8,21,18,13.76,11.79
2015,8,21,19,13.26,11.34
2015,8,21,20,12.87,11.03
2015,8,21,21,12.5,10.73
2015,8,21,22,12.12,10.41
2015,8,21,23,12.28,10.59
2015,8,22,0,12.61,10.91
2015,8,22,1,12.79,11.11
2015,8,22,2,12.96,11.28
2015,8,22,3,13.11,11.43
2015,8,22,4,13.23,11.54
2015,8,22,5,13.07,11.4
2015,8,22,6,13.09,11.4
2015,8,22,7,13.44,11.7
2015,8,22,8,13.67,11.87
2015,8,22,9,13.79,11.94
2015,8,22,10,14.13,12.22
2015,8,22,11,14.54,12.55
2015,8,22,12,14.9,12.82
2015,8,22,13,15.43,13.19
2015,8,22,14,15.78,13.42
2015,8,22,15,15.6,13.17
2015,8,22,16,15.35,12.97
2015,8,22,17,15.54,13.17
2015,8,22,18,15.89,13.58
2015,8,22,19,16.2,13.97
2015,8,22,20,16.38,14.18
2015,8,22,21,16.53,14.34
2015,8,22,22,16.65,14.45
2015,8,22,23,16.65,14.49
2015,8,23,0,16.66,14.44
2015,8,23,1,16.86,14.54
2015,8,23,2,16.9,14.61
2015,8,23,3,17.6,15.08
2015,8,23,4,17.9,15.36
2015,8,23,5,17.66,15.18
2015,8,23,6,17.32,14.88
2015,8,23,7,16.88,14.5
2015,8,23,8,16.43,14.11
2015,8,23,9,16.19,13.89
2015,8,23,10,16.06,13.74
2015,8,23,11,15.94,13.61
2015,8,23,12,15.6,13.32
2015,8,23,13,15.18,12.97
2015,8,23,14,14.61,12.5
2015,8,23,15,13.89,11.9
2015,8,23,16,13.14,11.26
2015,8,23,17,12.29,10.53
2015,8,23,18,11.54,9.9
2015,8,23,19,10.76,9.26
2015,8,23,20,9.93,8.56
2015,8,23,21,8.78,7.64
2015,8,23,22,7.51,6.61
2015,8,23,23,6.35,5.66
2015,8,24,0,5.53,4.99
2015,8,24,1,4.95,4.54
2015,8,24,2,4.78,4.44
2015,8,24,3,4.99,4.65
2015,8,24,4,5.25,4.88
2015,8,24,5,5.4,5.04
2015,8,24,6,5.58,5.23
2015,8,24,7,5.39,5.08
2015,8,24,8,4.91,4.64
2015,8,24,9,4.34,4.1
2015,8,24,10,3.88,3.66
2015,8,24,11,3.86,3.64
2015,8,24,12,4.11,3.85
2015,8,24,13,4.42,4.11
2015,8,24,14,4.58,4.22
2015,8,24,15,4.66,4.22
2015,8,24,16,4.89,4.33
2015,8,24,17,5.26,4.42
2015,8,24,18,5.83,4.77
2015,8,24,19,6.55,5.41
2015,8,24,20,6.97,5.84
2015,8,24,21,7.05,5.97
2015,8,24,22,7.0,5.99
2015,8,24,23,7.04,6.03
2015,8,25,0,7.13,6.07
2015,8,25,1,6.87,5.86
2015,8,25,2,6.35,5.41
2015,8,25,3,5.64,4.78
2015,8,25,4,4.92,4.09
2015,8,25,5,3.77,3.08
2015,8,25,6,2.21,1.73
2015,8,25,7,0.86,0.62
2015,8,25,8,0.32,0.33
2015,8,25,9,1.04,0.9
2015,8,25,10,1.34,1.12
2015,8,25,11,1.2,0.98
2015,8,25,12,0.73,0.58
2015,8,25,13,0.37,0.11
2015,8,25,14,0.56,0.32
2015,8,25,15,0.83,0.57
2015,8,25,16,0.97,0.7
2015,8,25,17,0.9,0.66
2015,8,25,18,0.97,0.77
2015,8,25,19,1.52,1.25
2015,8,25,20,2.45,1.98
2015,8,25,21,3.56,2.92
2015,8,25,22,4.58,3.85
2015,8,25,23,5.15,4.4
2015,8,26,0,5.17,4.42
2015,8,26,1,4.84,4.19
2015,8,26,2,4.44,3.92
2015,8,26,3,3.96,3.56
2015,8,26,4,3.41,3.11
2015,8,26,5,2.83,2.61
2015,8,26,6,2.26,2.11
2015,8,26,7,1.91,1.79
2015,8,26,8,1.74,1.64
2015,8,26,9,1.9,1.77
2015,8,26,10,2.29,2.15
2015,8,26,11,2.74,2.57
2015,8,26,12,3.18,2.99
2015,8,26,13,3.6,3.37
2015,8,26,14,3.86,3.62
2015,8,26,15,3.94,3.7
2015,8,26,16,3.71,3.49
2015,8,26,17,3.36,3.16
2015,8,26,18,2.97,2.8
2015,8,26,19,2.56,2.42
2015,8,26,20,2.12,2.0
2015,8,26,21,1.75,1.65
2015,8,26,22,1.64,1.54
2015,8,26,23,1.73,1.64
2015,8,27,0,1.55,1.46
2015,8,27,1,1.01,0.94
2015,8,27,2,0.33,0.27
2015,8,27,3,1.34,1.35
2015,8,27,4,2.48,2.46
2015,8,27,5,3.56,3.47
2015,8,27,6,4.4,4.24
2015,8,27,7,5.06,4.85
2015,8,27,8,5.73,5.43
2015,8,27,9,6.02,5.69
2015,8,27,10,6.03,5.67
2015,8,27,11,6.11,5.68
2015,8,27,12,6.05,5.54
2015,8,27,13,6.52,5.85
2015,8,27,14,7.92,6.96
2015,8,27,15,9.49,8.23
2015,8,27,16,10.73,9.22
2015,8,27,17,12.04,10.34
2015,8,27,18,13.24,11.38
2015,8,27,19,13.72,11.82
2015,8,27,20,13.36,11.57
2015,8,27,21,12.53,10.88
2015,8,27,22,11.81,10.27
2015,8,27,23,10.87,9.51
2015,8,28,0,9.92,8.69
2015,8,28,1,9.14,8.01
2015,8,28,2,8.45,7.35
2015,8,28,3,8.21,7.09
2015,8,28,4,8.07,7.0
2015,8,28,5,7.65,6.7
2015,8,28,6,7.6,6.69
2015,8,28,7,7.76,6.84
2015,8,28,8,7.77,6.82
2015,8,28,9,8.28,7.21
2015,8,28,10,8.89,7.75
2015,8,28,11,9.23,8.06
2015,8,28,12,9.45,8.24
2015,8,28,13,9.64,8.41
2015,8,28,14,9.89,8.63
2015,8,28,15,10.46,9.12
2015,8,28,16,11.19,9.74
2015,8,28,17,11.89,10.35
2015,8,28,18,12.54,10.88
2015,8,28,19,12.85,11.15
2015,8,28,20,13.17,11.38
2015,8,28,21,13.44,11.62
2015,8,28,22,13.8,11.9
2015,8,28,23,14.36,12.35
2015,8,29,0,14.79,12.66
2015,8,29,1,14.72,12.61
2015,8,29,2,14.43,12.38
2015,8,29,3,13.95,11.99
2015,8,29,4,13.32,11.46
2015,8,29,5,12.64,10.92
2015,8,29,6,11.84,10.27
2015,8,29,7,11.29,9.82
2015,8,29,8,10.98,9.58
2015,8,29,9,10.81,9.47
2015,8,29,10,10.68,9.37
2015,8,29,11,10.96,9.6
2015,8,29,12,11.49,10.03
2015,8,29,13,11.85,10.32
2015,8,29,14,11.97,10.42
2015,8,29,15,11.83,10.31
2015,8,29,16,11.88,10.33
2015,8,29,17,11.97,10.39
2015,8,29,18,11.96,10.27
2015,8,29,19,13.84,11.8
2015,8,29,20,13.5,11.68
2015,8,29,21,13.46,11.69
2015,8,29,22,11.13,9.79
2015,8,29,23,7.58,6.82
2015,8,30,0,5.39,4.91
2015,8,30,1,4.46,4.02
2015,8,30,2,3.98,3.52
2015,8,30,3,3.9,3.41
2015,8,30,4,4.42,3.89
2015,8,30,5,5.57,4.94
2015,8,30,6,7.09,6.27
2015,8,30,7,8.15,7.16
2015,8,30,8,8.58,7.5
2015,8,30,9,8.38,7.34
2015,8,30,10,7.59,6.71
2015,8,30,11,6.46,5.77
2015,8,30,12,5.29,4.73
2015,8,30,13,4.32,3.82
2015,8,30,14,3.34,2.96
2015,8,30,15,3.4,3.08
2015,8,30,16,5.17,4.78
2015,8,30,17,6.95,6.42
2015,8,30,18,7.79,7.13
2015,8,30,19,7.68,7.09
2015,8,30,20,6.84,6.37
2015,8,30,21,6.04,5.66
2015,8,30,22,5.01,4.75
2015,8,30,23,4.18,4.01
2015,8,31,0,3.41,3.31
2015,8,31,1,2.39,2.36
2015,8,31,2,1.58,1.59
2015,8,31,3,1.03,1.05
2015,8,31,4,0.9,0.86
2015,8,31,5,1.76,1.63
2015,8,31,6,3.09,2.88
2015,8,31,7,4.17,3.87
2015,8,31,8,4.74,4.38
2015,8,31,9,4.89,4.51
2015,8,31,10,4.94,4.53
2015,8,31,11,5.25,4.81
2015,8,31,12,6.12,5.56
2015,8,31,13,7.24,6.49
2015,8,31,14,8.56,7.53
2015,8,31,15,10.37,9.04
2015,8,31,16,12.32,10.69
2015,8,31,17,13.05,11.35
2015,8,31,18,12.29,10.74
2015,8,31,19,10.74,9.47
2015,8,31,20,9.28,8.27
2015,8,31,21,8.0,7.22
2015,8,31,22,6.88,6.27
2015,8,31,23,6.02,5.53
2015,9,1,0,5.57,5.14
2015,9,1,1,5.4,4.98
2015,9,1,2,5.22,4.8
2015,9,1,3,5.45,4.99
2015,9,1,4,5.78,5.27
2015,9,1,5,5.84,5.32
2015,9,1,6,5.62,5.13
2015,9,1,7,5.38,4.92
2015,9,1,8,5.2,4.74
2015,9,1,9,5.03,4.56
2015,9,1,10,4.92,4.47
2015,9,1,11,4.78,4.34
2015,9,1,12,4.72,4.27
2015,9,1,13,4.62,4.16
2015,9,1,14,4.4,3.96
2015,9,1,15,4.04,3.64
2015,9,1,16,3.77,3.4
2015,9,1,17,3.68,3.33
2015,9,1,18,3.8,3.44
2015,9,1,19,4.08,3.68
2015,9,1,20,4.36,3.89
2015,9,1,21,4.53,4.05
2015,9,1,22,4.79,4.28
2015,9,1,23,5.14,4.6
2015,9,2,0,5.49,4.92
2015,9,2,1,5.7,5.11
2015,9,2,2,5.75,5.16
2015,9,2,3,5.63,5.07
2015,9,2,4,5.48,4.92
2015,9,2,5,5.17,4.66
2015,9,2,6,4.8,4.37
2015,9,2,7,4.48,4.09
2015,9,2,8,4.1,3.76
2015,9,2,9,3.55,3.29
2015,9,2,10,2.93,2.74
2015,9,2,11,2.46,2.31
2015,9,2,12,2.23,2.11
2015,9,2,13,2.42,2.28
2015,9,2,14,2.93,2.75
2015,9,2,15,3.61,3.36
2015,9,2,16,4.32,4.0
2015,9,2,17,4.89,4.53
2015,9,2,18,5.07,4.7
2015,9,2,19,4.83,4.5
2015,9,2,20,4.52,4.24
2015,9,2,21,4.49,4.22
2015,9,2,22,4.57,4.28
2015,9,2,23,4.44,4.17
